"Status","Order","Color"
"Work In Progress","0","#B8B8B8"
"Open","0",""
"PICKUP/DELIVERY TODAY","4","#4C3E57"
"Tube/Tire Change","6","#F6B444"
"Service Waiting!!!","7","#E27E38"
"Service - Priority","8","#A44039"
"Service Commuter","12","#CC89A6"
"Service","20",""
"Pickup/Delivery Upcoming","21","#897897"
"Assembly","22","#8DB6D7"
"Battery Diagnostics","24","#C2928F"
"Ebike Electrical - Diagnostics","25","#C2928F"
"Victor Work","27","#944107"
"Chase Work","28","#064C85"
"Nick Work","29","#A0690D"
"Sean Work","40","#79425A"
"Fritz Work","41","#4B4B4B"
"Fritz Work - In Progress","42","#4B4B4B"
"Order Me","50","#79425A"
"Rental Fix-Me-Up","90","#CC89A6"
"Finished - No Auto Text","141","#589141"
"Finished - Waiting to Contact/Other Bikes","146","#589141"
"Finished - Customer Picking Up Part/Accessory","147","#589141"
"Finished - Sent Nagging Text","149","#2C5B19"
"Finished - Waiting on Payment","150","#9DB892"
"Finished - Customer Not Responding","165","#9DB892"
"Finished - Picking Up Later","170","#9DB892"
"Finished - Customer Pickup Bad Unit","173","#9DB892"
"Texting Customer","178","#F6B444"
"Emailing Company","179","#F6B444"
"Customer Bringing For Service","196","#DCBCCA"
"Order This Item","200","#A0690D"
"Order Part for Customer","210","#E27E38"
"Order Bicycle for Customer","220","#E27E38"
"Product Inquiry","280","#8DB6D7"
"Part in Cart","369","#944107"
"Bicycle Ordered","370","#E27E38"
"Part Ordered","380","#E27E38"
"Battery Ordered","395","#E27E38"
"Accessory Ordered","400","#E27E38"
"Rental - Ready to Go","439","#C2928F"
"(Rental Upcoming) - Pickup","440","#C2928F"
"(Rental Upcoming) - DELIVERY","441","#C2928F"
"Rental ------- Currently Out","455","#C2928F"
"Rental -- Currently Out & Pickup","457","#C2928F"
"Assembly -- waiting on arrival","750","#3287CC"
"Preorder ","760","#79425A"
"Low Priority","800",""
"Done & Paid","900","#B8B8B8"
"Waiting","900","#897897"
"Ordered for Pickup Longgg Ago","901",""
"Estimate","1000","#C2928F"
"ABANDONED","2000","#A44039"
"Sales Bonus","2500","#589141"
"Finished","8000","#589141"
